Country,Location,Year,Month,Hour,Datum,Status Mission,Price_launch,Company,Model,Serie,Cargo,Price,Status Rocket,Status,Liftoff Thrust,Stages,Strap-ons,Rocket Height,Fairing Diameter,Fairing Height,Payload to LEO,Payload to GTO,Wiki
USA,"LC-39A, Kennedy Space Center, Florida, USA",2020,8,5,2020-08-07 05:12:00+00:00,Success,50.0 ,SpaceX,Falcon 9 Block 5,Falcon,Starlink V1 L9 & BlackSky,50.0,StatusActive,Active,7607,2,0,70.0,5.2,13.0,22.8,8.3,https://en.wikipedia.org/wiki/Falcon_9
China,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020,8,4,2020-08-06 04:01:00+00:00,Success,29.75 ,CASC,Long March 2D,Long March,Gaofen-9 04 & Q-SAT,29.75,StatusActive,Active,2962,2,0,41.06,3.35,10.9,3.5,0.0,https://en.wikipedia.org/wiki/Long_March_2D
USA,"Pad A, Boca Chica, Texas, USA",2020,8,23,2020-08-04 23:57:00+00:00,Success,,SpaceX,Starship Prototype,Starship,150 Meter Hop,,StatusActive,Active,6000,1,0,50.0,,,0.0,0.0,https://en.wikipedia.org/wiki/SpaceX_Starship
Kazakhstan,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2020,7,21,2020-07-30 21:25:00+00:00,Success,65.0 ,Roscosmos,Proton-M/Briz-M,Proton,Ekspress-80 & Ekspress-103,65.0,StatusActive,Active,10532,4,0,58.2,4.35,15.26,0.0,6.0,https://en.wikipedia.org/wiki/Proton-M
USA,"SLC-41, Cape Canaveral AFS, Florida, USA",2020,7,11,2020-07-30 11:50:00+00:00,Success,145.0 ,ULA,Atlas V 541,Atlas,Perseverance,145.0,StatusActive,Active,10581,2,4,62.2,5.4,26.5,17.41,8.29,https://en.wikipedia.org/wiki/Atlas_V
China,"LC-9, Taiyuan Satellite Launch Center, China",2020,7,3,2020-07-25 03:13:00+00:00,Success,64.68 ,CASC,Long March 4B,Long March,"Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",64.68,StatusActive,Active,2971,3,0,44.1,,,4.2,1.5,https://en.wikipedia.org/wiki/Long_March_4B
Kazakhstan,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020,7,14,2020-07-23 14:26:00+00:00,Success,48.5 ,Roscosmos,Soyuz 2.1a,Soyuz,Progress MS-15,48.5,StatusActive,Active,4150,3,4,,3.7,7.7,7.02,0.0,https://en.wikipedia.org/wiki/Soyuz-2
China,"LC-101, Wenchang Satellite Launch Center, China",2020,7,4,2020-07-23 04:41:00+00:00,Success,,CASC,Long March 5,Long March,Tianwen-1,,StatusActive,Active,10565,3,4,57.0,5.0,,25.0,14.0,https://en.wikipedia.org/wiki/Long_March_5
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2020,7,21,2020-07-20 21:30:00+00:00,Success,50.0 ,SpaceX,Falcon 9 Block 5,Falcon,ANASIS-II,50.0,StatusActive,Active,7607,2,0,70.0,5.2,13.0,22.8,8.3,https://en.wikipedia.org/wiki/Falcon_9
Japan,"LA-Y1, Tanegashima Space Center, Japan",2020,7,21,2020-07-19 21:58:00+00:00,Success,90.0 ,JAXA,H-IIA 202,H,Hope Mars Mission,90.0,StatusActive,Active,,2,2,53.0,4.07,12.0,10.0,4.1,https://en.wikipedia.org/wiki/H-IIA
USA,"LP-0B, Wallops Flight Facility, Virginia, USA",2020,7,13,2020-07-15 13:46:00+00:00,Success,46.0 ,Northrop,Minotaur IV,Minotaur,NROL-129,46.0,StatusActive,Active,2200,4,0,23.88,2.34,6.4,1.375,0.0,https://en.wikipedia.org/wiki/Minotaur_IV
China,"Site 95, Jiuquan Satellite Launch Center, China",2020,7,4,2020-07-10 04:17:00+00:00,Failure,28.3 ,ExPace,Kuaizhou 11,Kuaizhou,"Jilin-1 02E, CentiSpace-1 S2",28.3,StatusActive,Active,,3,0,25.0,2.2,,1.5,0.0,https://en.wikipedia.org/wiki/Kuaizhou
China,"LC-3, Xichang Satellite Launch Center, China",2020,7,12,2020-07-09 12:11:00+00:00,Success,29.15 ,CASC,Long March 3B/E,Long March,Apstar-6D,29.15,StatusActive,Active,5922,3,4,56.3,4.2,9.56,11.5,5.5,https://en.wikipedia.org/wiki/Long_March_3B
Israel,"Pad 1, Palmachim Airbase, Israel",2020,7,1,2020-07-06 01:00:00+00:00,Success,,IAI,Shavit-2,Shavit,Ofek-16,,StatusActive,Active,554,3,0,22.0,1.35,4.37,0.35,0.0,https://en.wikipedia.org/wiki/Shavit
China,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020,7,23,2020-07-04 23:44:00+00:00,Success,29.75 ,CASC,Long March 2D,Long March,Shiyan-6 02,29.75,StatusActive,Active,2962,2,0,41.06,3.35,10.9,3.5,0.0,https://en.wikipedia.org/wiki/Long_March_2D
New Zealand,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand",2020,7,21,2020-07-04 21:19:00+00:00,Failure,7.5 ,Rocket Lab,Electron/Curie,Electron,Pics Or It Didn??¦t Happen,7.5,StatusActive,Active,162,3,0,17.0,1.2,2.5,0.3,0.0,https://en.wikipedia.org/wiki/Electron_(rocket)
China,"LC-9, Taiyuan Satellite Launch Center, China",2020,7,3,2020-07-03 03:10:00+00:00,Success,64.68 ,CASC,Long March 4B,Long March,Gaofen Duomo & BY-02,64.68,StatusActive,Active,2971,3,0,44.1,,,4.2,1.5,https://en.wikipedia.org/wiki/Long_March_4B
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2020,6,20,2020-06-30 20:10:00+00:00,Success,50.0 ,SpaceX,Falcon 9 Block 5,Falcon,GPS III SV03,50.0,StatusActive,Active,7607,2,0,70.0,5.2,13.0,22.8,8.3,https://en.wikipedia.org/wiki/Falcon_9
China,"LC-2, Xichang Satellite Launch Center, China",2020,6,1,2020-06-23 01:43:00+00:00,Success,29.15 ,CASC,Long March 3B/E,Long March,Beidou-3 G3,29.15,StatusActive,Active,5922,3,4,56.3,4.2,9.56,11.5,5.5,https://en.wikipedia.org/wiki/Long_March_3B
China,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020,6,7,2020-06-17 07:19:00+00:00,Success,29.75 ,CASC,Long March 2D,Long March,"Gaofen-9 03, Pixing III A & HEAD-5",29.75,StatusActive,Active,2962,2,0,41.06,3.35,10.9,3.5,0.0,https://en.wikipedia.org/wiki/Long_March_2D
USA,"SLC-40, Cape Canaveral AFS, Florida, USA",2020,6,9,2020-06-13 09:21:00+00:00,Success,50.0 ,SpaceX,Falcon 9 Block 5,Falcon,Starlink V1 L8 & SkySat 16 to 18,50.0,StatusActive,Active,7607,2,0,70.0,5.2,13.0,22.8,8.3,https://en.wikipedia.org/wiki/Falcon_9
